도서명,보유권수,작가,목표장르,기존서가
괴수8호 B,1~1권,마츠모토 나오야/키즈카 케이지,액션/모험,59
괴수8호 relax,1~3권,와타나베 키즈쿠,일상/개그,59
야쿠자의 덕질,1~12권,타츠미,일상/개그,47
강호패도기,1~37권,오치아이 유스케,판타지/무협,47
위치 헌터,1~21권,미상,일상/개그,47
팬텀 버스터즈,1~6권,네오 쇼코,액션/모험,47
그녀는 안경 HOLIC,1~3권,미상,액션/모험,48
월요일 소년,1~9권,미상,액션/모험,48
요정표본,1~3권,미상,액션/모험,48
미녀와야수 2부,1~10권,미상,액션/모험,48
이름없는 꽃,1~3권,미상,액션/모험,48
어둠의 고동,1~12권,미상,액션/모험,48
고스트!,1~4권,미상,액션/모험,48
일본침몰,1~15권,미상,액션/모험,48
부서지기 시작한 천사들,1~5권,미상,액션/모험,48
나우,1~25권,미상,드라마/스포츠/SF,48
키마이라,1~6권,미상,액션/모험,48
사이키 쿠스오의 재난,1~26권,아소 슈이치,판타지/무협,48
고래의 아이들은 모래 위에서 노래한다.,1~7권,우메다 아비,판타지/무협,48
천신전설 유나,1~2권,미상,액션/모험,49
한때는 신이었던 짐승들에게,1~9권,미상,액션/모험,49
우주를 누비는 쏙독새,1~3권,미상,액션/모험,49
내일의 요이치,1~15권,미상,일상/개그,49
투수사 베스티아리우스,1~3권,미상,액션/모험,49
이트맨,1~18권,미상,액션/모험,49
지구에서 영업중,1~9권,미상,로맨스/로판,39
난 꽃미남이 좋아,보유,미상,로맨스/로판,39
공주님을 찾습니다,1~10권,미상,로맨스/로판,39
어신후보생,보유,미상,로맨스/로판,39
여우가 늑대 되는 순간,1~10권,미상,로맨스/로판,39
이미테이션 러브,보유,미상,로맨스/로판,39
죽을래 좋아할래,1~10권,미상,액션/모험,39
퍼니퍼니 펀,보유,미상,로맨스/로판,39
K2,1~5권,미상,스릴러/추리/호러,39
K2.,1~14권,미상,스릴러/추리/호러,39
미스터 웨인의 1904 경성기담,보유,미상,로맨스/로판,39
타락천사,보유,미상,판타지/무협,39
허니 머스타드,1~4권,미상,로맨스/로판,40
잘나가는 그놈들에겐 뭔가 특별한것이 있다,1~11권,미상,로맨스/로판,40
사랑과 정열에게 맹세,1~5권,미상,로맨스/로판,40
홍가네,1~11권,미상,로맨스/로판,40
설탕중독,1~5권,미상,로맨스/로판,40
에뷔오네,1~12권,미상,로맨스/로판,40
치로,1~12권,미상,로맨스/로판,40
야야,1~6권,미상,로맨스/로판,40
러버보이,1~13권,미상,로맨스/로판,40
사랑이야,1~7권,미상,로맨스/로판,40
신목연아의 신혼일기,1~13권,미상,로맨스/로판,40
소녀왕,1~8권,미상,액션/모험,40
인연,1~13권,심수정,로맨스/로판,40
너에게 간다,1~9권,미상,로맨스/로판,40
모과를 기억하세요?,1~15권,미상,로맨스/로판,40
작은 아씨들,1~9권,미상,액션/모험,40
단 하나뿐인 걸,1~16권,미상,로맨스/로판,40
녹턴,1~10권,미상,로맨스/로판,40
상속 받은 그녀,1~10권,미상,로맨스/로판,40
원수를 사랑하라,1~18권,한유랑,웹툰,40
키스는 배운대로,1~10권,미상,로맨스/로판,40
볼래?!,보유,미상,로맨스/로판,40
시화몽,1~11권,미상,로맨스/로판,40
캐쉬걸 플러스,보유,미상,로맨스/로판,40
M의 천국,보유,미상,액션/모험,40
18세 우리 결혼했어요,1~10권,미상,로맨스/로판,40
Paris와 결혼하기,보유,미상,로맨스/로판,40
Wa! 와!,보유,미상,로맨스/로판,40
정체불명 새색시,보유,미상,로맨스/로판,40
개나리 꽃이 피거든,1~3권,미상,로맨스/로판,41
출동 수호천사,1~6권,미상,로맨스/로판,41
