도서명,보유권수,작가,목표장르,기존서가
궁,1~28권,박소희,로맨스/로판,37
야! 너!,1~7권,미상,로맨스/로판,37
심청,1~9권,미상,로맨스/로판,37
남편의 조건,보유,미상,로맨스/로판,37
이왕이면 다홍,1~9권,미상,로맨스/로판,37
라이언의 왕녀,보유,미상,로맨스/로판,37
머물던 사랑,보유,미상,로맨스/로판,37
아르미안의 네 딸들,1~10권,미상,로맨스/로판,37
눈부시도록,1~13권,미상,로맨스/로판,37
오디션,보유,천계영,로맨스/로판,37
춘앵전,1~14권,미상,로맨스/로판,37
탐나는도다,보유,미상,액션/모험,37
펠루아 이야기,1~15권,김연주,로맨스/로판,37
하이힐을 신은소녀,보유,미상,로맨스/로판,37
너의 시선 끝에 내가있다,1~16권,미상,로맨스/로판,37
very! very! 다이스키,1~8권,미상,로맨스/로판,37
DVD,1~8권,미상,로맨스/로판,37
키스 키스 키스,1~2권,미상,로맨스/로판,38
금지된 키스,1~10권,미상,로맨스/로판,38
별바라기,1~3권,미상,로맨스/로판,38
나만의 공주님,1~10권,미상,판타지/무협,38
BIBI 아이리스.,1~3권,미상,로맨스/로판,38
사의 찬미,1~3권,미상,로맨스/로판,38
러브장,1~10권,미상,로맨스/로판,38
판타미르,1~3권,미상,액션/모험,38
사랑해요 뱀파이어,1~10권,미상,로맨스/로판,38
학교 방위 365일,1~3권,미상,로맨스/로판,38
천일야화,1~11권,미상,로맨스/로판,38
해바라기의 숲,1~3권,미상,로맨스/로판,38
아이돌 쇼핑,1~12권,미상,로맨스/로판,38
U F O.,1~7권,미상,로맨스/로판,38
100일 사랑,1~13권,미상,로맨스/로판,38
그린빌에서 만나요,1~4권,미상,로맨스/로판,38
절대마녀,1~12권,미상,로맨스/로판,38
발칙한 녀석들,1~4권,미상,로맨스/로판,38
네버 크라이 (Never Cry),1~13권,미상,로맨스/로판,38
세자빈 프로젝트,1~4권,미상,로맨스/로판,38
나의 사랑스런 주인님,1~14권,미상,로맨스/로판,38
에이스,1~4권,미상,로맨스/로판,38
장난스런 Kiss 애장판,1~14권,미상,로맨스/로판,38
파랑새 훔치기,1~4권,미상,로맨스/로판,38
난 엄마 넌 아빠,1~18권,미상,로맨스/로판,38
해피 & 머피,1~4권,우라사와 나오키,드라마/스포츠/SF,38
씨엘(CIEL),1~23권,미상,로맨스/로판,38
다다,1~5권,미상,로맨스/로판,38
실버 다이아몬드,1~27권,미상,로맨스/로판,38
압도적인 그들,1~5권,미상,로맨스/로판,38
레디-go!,1~5권,미상,로맨스/로판,38
고양이 목에 방울 달기,보유,미상,로맨스/로판,38
호러컬렉터,1~5권,미상,로맨스/로판,38
그녀석 스타 만들기,보유,미상,로맨스/로판,38
신데렐라맨,1~6권,미상,로맨스/로판,38
그러니까 좋아,보유,미상,로맨스/로판,38
세이 세이 세이,1~7권,미상,로맨스/로판,38
내사랑 봉자,보유,미상,로맨스/로판,38
쉿!,1~7권,미상,로맨스/로판,38
보헤미안 랩소디,보유,미상,로맨스/로판,38
파인키스,1~7권,미상,로맨스/로판,38
붉은딸기 흰딸기,보유,미상,로맨스/로판,38
펭귄혁명,1~7권,미상,로맨스/로판,38
사랑이 싹트다,보유,미상,로맨스/로판,38
개똥이,1~8권,미상,로맨스/로판,38
에덴의 남쪽,보유,미상,로맨스/로판,38
COMIC,1~9권,미상,로맨스/로판,38
그녀를 믿지마세요,1~8권,미상,로맨스/로판,38
열혈여아,보유,미상,액션/모험,38
도그보이,1~8권,미상,로맨스/로판,38
와일드 와일드 스쿨,보유,미상,로맨스/로판,38
샌드위치 걸,1~8권,미상,액션/모험,38
커피시간,보유,미상,로맨스/로판,38
펌프펌프,1~8권,미상,로맨스/로판,38
피쉬 닷 컴,보유,미상,로맨스/로판,38
신인류의 사랑,1~9권,미상,로맨스/로판,38
화,보유,미상,로맨스/로판,38
파란만장 다이어리,1~9권,미상,로맨스/로판,38
Idol School of 귀족연애사,1~15권,미상,로맨스/로판,38
H2O,1~7권,미상,로맨스/로판,38
ONE,1~11권,미상,로맨스/로판,38
SM 헌터 10 : SPAM MAIL HUNTER,보유,미상,로맨스/로판,38
OUT(아웃),보유,미상,로맨스/로판,38
두 사람이다,1~3권,미상,로맨스/로판,39
사랑에 미쳐라,1~11권,미상,로맨스/로판,39
변태 미소녀 전사 정의봉맨,1~3권,미상,로맨스/로판,39
얼짱,1~11권,미상,로맨스/로판,39
한눈에 반하다,1~4권,미상,로맨스/로판,39
도깨비 왕국으로 간다,1~12권,미상,로맨스/로판,39
파란만장 연애사,1~12권,미상,로맨스/로판,39
그들도 사랑을 한다,1~6권,미상,로맨스/로판,39
학원제국,1~12권,미상,로맨스/로판,39
마이 스위트 홈,1~6권,미상,로맨스/로판,39
건달 히어로,1~13권,미상,로맨스/로판,39
설,1~6권,미상,로맨스/로판,39
내 인생의 태클,1~14권,미상,로맨스/로판,39
풀 하우스,1~16권,미상,액션/모험,39
디어 왈츠 Dear Waltz,1~9권,미상,로맨스/로판,39
신데렐라가 될거야,1~20권,미상,액션/모험,39
언밸런스 X2,1~9권,미상,로맨스/로판,39
가면속의 사랑,1~32권,미상,액션/모험,39
코드 기어스 나이트메어 오브 나나리,1~5권,마지코,드라마/스포츠/SF,12
바쿠만,1~20권,오바 츠구미,드라마/스포츠/SF,12
산,1~18권,미상,드라마/스포츠/SF,12
타임슬립 닥터 JIN,1~20권,미상,드라마/스포츠/SF,12
S(에스): 최후의 경관.,1~4권,미상,드라마/스포츠/SF,12
신데렐라 쇼퍼,1~7권,미상,드라마/스포츠/SF,12
의룡,1~25권,미상,코믹스/그래픽노블,12
데몰리션맨 가몬,1~9권,미상,드라마/스포츠/SF,12
와일드 라이프,1~27권,미상,드라마/스포츠/SF,12
뚱쌤,1~9권,미상,로맨스/로판,12
야왕,1~29권,쿠라시나 료/이노우에 노리요시,드라마/스포츠/SF,12
메이의 집사,1~15권,미상,로맨스/로판,12
흑집사,1~32권,야나 토보소,로맨스/로판,12
우로보로스,1~12권,미상,드라마/스포츠/SF,12
하야테처럼,1~49권,미상,드라마/스포츠/SF,12
갓 핸드 테루,1~62권,미상,로맨스/로판,12
스위치 13 : Switch,보유,나미키 사키,스릴러/추리/호러,12
시마네의 변호사,1~14권,미상,드라마/스포츠/SF,12
SOS 해상 특수구조대.,1~20권,미상,드라마/스포츠/SF,12
E.D.D. (Eliminate Dangerous Doctors),1~5권,미상,드라마/스포츠/SF,12
신 검은 사기,1~3권,미상,드라마/스포츠/SF,13
검은 사기,1~38권,미상,스릴러/추리/호러,13
징역 339년,1~4권,미상,드라마/스포츠/SF,13
상처투성이 진세이,1~15권,미상,로맨스/로판,13
왈츠,1~6권,미상,드라마/스포츠/SF,13
오늘부터 우리는,1~19권,히로유키 니시모리,액션/모험,13
위너즈 서클에 어서오세요,1~9권,미상,드라마/스포츠/SF,13
크로우즈 완전판,1~19권,미상,드라마/스포츠/SF,13
차카게 살자,1~9권,미상,드라마/스포츠/SF,13
차카게 살자 2부,1~10권,미상,드라마/스포츠/SF,13
폭두방랑 타나카,1~9권,미상,일상/개그,13
폭두고딩 타나카,1~10권,미상,일상/개그,13
폭두백수 타나카,1~10권,미상,일상/개그,13
폭두직딩 타나카 10/,보유,미상,드라마/스포츠/SF,13
폭음열도,1~14권,미상,로맨스/로판,13
건달군과 안경양,1~23권,미상,코믹스/그래픽노블,13
도박묵시록 카이지,1~39권,미상,스릴러/추리/호러,13
니나 잘해,1~50권,미상,드라마/스포츠/SF,13
감옥학원,1~27권,미상,일상/개그,13
골드 : GOLD,1~10권,미상,드라마/스포츠/SF,13
엠블럼 TAKE 2,1~62권,미상,드라마/스포츠/SF,13
갬블,1~11권,미상,판타지/무협,13
삐따기,1~93권,미상,로맨스/로판,13
데드맨 원더랜드,1~13권,미상,로맨스/로판,13
카이지,보유,미상,드라마/스포츠/SF,13
헤이 리키,1~13권,미상,드라마/스포츠/SF,13
엘리트 건달,1~51권,미상,로맨스/로판,13
100억의 사나이,1~12권,쿠니토모 야스유키,드라마/스포츠/SF,13
격류혈,1~3권,미상,액션/모험,14
갱킹,1~27권,미상,액션/모험,14
슈거리스,1~3권,미상,로맨스/로판,14
키드갱,1~27권,미상,판타지/무협,14
하루미치,1~3권,미상,로맨스/로판,14
군계,1~28권,미상,액션/모험,14
최유기 리로드 블래스트(Reload Blast),1~3권,미상,액션/모험,52
최유기 리로드,1~10권,미상,액션/모험,52
최유기외전 신장판 4/,보유,미상,액션/모험,52
"20세기 소년, 완전판. 11/ 20세기 소년.",1~22권,미상,액션/모험,52
페어리 테일 S,1~2권,마시마 히로,판타지/무협,53
보석의 나라,1~11권,이치카와 하루코,판타지/무협,53
마기 신드바드의 모험,1~19권,오타카 시노부,판타지/무협,53
츠바사,1~28권,미상,액션/모험,53
괴체진서 제로,1~6권,미상,액션/모험,53
마기,1~37권,오타카 시노부,판타지/무협,53
렌지맨,1~6권,미상,액션/모험,53
페어리 테일,1~62권,히로 마시마,액션/모험,53
서유기 플러스 어게인  10/,보유,미상,액션/모험,53
그란네리에,1~2권,미상,판타지/무협,54
헬싱,1~10권,미상,드라마/스포츠/SF,54
진격의 거인 Lost Girls,1~2권,이사야마 하지메,액션/모험,57
진격! 거인 중학교,1~11권,미상,코믹스/그래픽노블,57
진격의 거인 -후회없는 선택,1~2권,이사야마 하지메,액션/모험,57
루트 뱀파이어,1~3권,미상,액션/모험,54
노 건즈 라이프,1~12권,미상,판타지/무협,54
메테오드,1~4권,미상,액션/모험,54
서뱀프(Servamp),1~13권,미상,액션/모험,54
미이라 사육법,1~4권,우즈기 카케루,웹툰,54
오메가 트라이브,1~14권,미상,드라마/스포츠/SF,54
바니타스의 수기,1~4권,미상,판타지/무협,54
도쿄 구울:re,1~16권,스이 이시다,스릴러/추리/호러,54
도쿄 구울,보유,스이 이시다,스릴러/추리/호러,54
일리걸 레어,1~4권,미상,액션/모험,54
아르슬란 전기,1~16권,다나카 요시키,판타지/무협,54
데미는 이야기하고 싶어,1~5권,미상,액션/모험,54
인펙션,1~16권,미상,액션/모험,54
오버로드,1~5권,미상,액션/모험,54
아인,1~17권,"사쿠라이 가몬, 미우라 츠이나",스릴러/추리/호러,54
대다크,1~5권,미상,액션/모험,54
마왕님 잠깐 그것 좀,1~6권,미상,액션/모험,54
진격의 거인 Before the fall,1~17권,이사야마 하지메,액션/모험,54
소곤소곤,1~6권,미상,로맨스/로판,54
불쾌한 모노노케안,1~18권,와자와키리,판타지/무협,54
기생수 리버시,1~8권,이와아키 히토시,스릴러/추리/호러,54
기생수,1~8권,이와아키 히토시,스릴러/추리/호러,54
도로헤도로,1~23권,미상,액션/모험,54
브레이브 스토리,1~19권,미상,액션/모험,54
뱀파이어 기사,1~9권,미상,로맨스/로판,54
종말의 세라프,1~31권,카가미 타카야,판타지/무협,54
골든 카무이,1~29권,사토루 노다,액션/모험,54
진격의 거인,1~34권,이사야마 하지메,액션/모험,54
로자리오와 뱀파이어,1~10권,미상,로맨스/로판,54
로자리오와 뱀파이어 시즌2,1~10권,미상,액션/모험,54
블러디+메리,1~10권,미상,액션/모험,54
파괴수,보유,미상,스릴러/추리/호러,54
1학년 A반의 몬스터.,1~6권,우라사와 나오키,스릴러/추리/호러,54
비비는 짱,1~2권,미상,액션/모험,55
식령,1~12권,미상,로맨스/로판,55
잔혹한 신이 지배한다,1~3권,미상,액션/모험,55
토키와 왔도다,1~12권,미상,액션/모험,55
사랑하는 고슴도치,1~2권,미상,로맨스/로판,24
우리에게는 벽이 있다,1~7권,미상,로맨스/로판,24
알레르기 소년,1~2권,미상,로맨스/로판,24
피카 이치,1~7권,미상,로맨스/로판,24
온천에서 만나요,1~2권,미상,로맨스/로판,24
나만의 기사님,1~8권,미상,로맨스/로판,24
웰컴투 문하우스,1~2권,미상,로맨스/로판,24
러브 몽키,1~8권,미상,로맨스/로판,24
카페 러브,1~2권,미상,로맨스/로판,24
마사무네의 리벤지,1~8권,미상,로맨스/로판,24
고백클럽,1~3권,미상,로맨스/로판,24
사랑과 군함,1~8권,미상,로맨스/로판,24
그랜드 선,1~3권,미상,로맨스/로판,24
히바리 1번가의 사정,1~8권,미상,로맨스/로판,24
로맨틱 비밀클럽,1~3권,미상,로맨스/로판,24
도쿄 후회망상 아가씨,1~9권,히가시라무라 아키코,로맨스/로판,24
뻐꾸기 커플,1~3권,미키 요시카와,로맨스/로판,24
우이러브,1~9권,미상,로맨스/로판,24
여기부턴 NG,1~3권,미상,로맨스/로판,24
울트라 큐티,1~9권,미상,로맨스/로판,24
청춘소녀대장,1~3권,미상,로맨스/로판,24
허니,1~9권,유타카 타치바나,로맨스/로판,24
모형정원의 엔젤,1~4권,미상,로맨스/로판,24
미열소녀,1~10권,미상,로맨스/로판,24
물방울 허니보이,1~4권,미상,로맨스/로판,24
우리는 언제나,1~10권,미상,로맨스/로판,24
킹카 연애론,1~4권,미상,로맨스/로판,24
아이즈,1~12권,미상,로맨스/로판,24
병아리 왈츠,1~5권,사토나카 미카,로맨스/로판,24
핫 기믹,1~12권,미상,로맨스/로판,24
비가 와도 맑아도,1~5권,미상,로맨스/로판,24
악마와 러브송,1~13권,미상,로맨스/로판,24
총리딸은 괴로워,1~5권,미상,로맨스/로판,24
우리는 알게 되었다,1~14권,미상,로맨스/로판,24
학원연애사!,1~5권,미상,로맨스/로판,24
파이브,1~15권,미상,액션/모험,24
늑대소녀와 흑왕자,1~16권,하타 아유코,로맨스/로판,24
록킨 헤븐,보유,미상,로맨스/로판,24
우리들이 있었다,1~16권,미상,일상/개그,24
양달의 병아리,보유,미상,로맨스/로판,24
가족놀이,보유,미상,액션/모험,24
인어왕자,보유,미상,로맨스/로판,24
너는 비탈길 중간에,보유,미상,일상/개그,24
핑크 이노센트,보유,미상,로맨스/로판,24
1/2 허니문,보유,미상,로맨스/로판,24
BODY (바디).,1~10권,미상,로맨스/로판,24
E계 하이브리드 걸,1~2권,미상,로맨스/로판,24
S.A 스페셜 에이.,1~17권,미상,로맨스/로판,24
가슴이 떨리는 건 너 때문,1~2권,미상,로맨스/로판,25
지그 재그,1~9권,미상,로맨스/로판,25
랄랄라 러브송,1~2권,미상,로맨스/로판,25
아가씨를 부탁해!,1~10권,미상,로맨스/로판,25
나와 너의 소중한 이야기,1~3권,미상,로맨스/로판,25
왕자에게는 독이 있다,1~10권,미상,로맨스/로판,25
하루 하나,1~3권,미상,로맨스/로판,25
하트,1~10권,미상,로맨스/로판,25
허니 플라워,1~3권,미상,로맨스/로판,25
별은 노래한다,1~11권,미상,로맨스/로판,25
마음이 외치고 싶어해,1~4권,미상,로맨스/로판,25
악마로소이다,1~11권,타카나시 미츠바,로맨스/로판,25
가디언즈 오브 더 갤럭시 얼티밋 가이드/   스타워즈: 라스트 제다이 오피셜 가이드,보유,미상,코믹스/그래픽노블,2
토르: 천둥의 시대/ 앤트맨 천적,보유,미상,코믹스/그래픽노블,2
그들의 등 뒤에서는 좋은 향기가 난다,보유,미상,코믹스/그래픽노블,2
뉴 어벤저스. 1: 모든 것은 죽는다/   시빌 워/       SECRET WAR(시크릿 워),보유,미상,코믹스/그래픽노블,2
스파이더맨/   데드풀 Vol. 1: 브로맨틱하지 않나요?,보유,미상,코믹스/그래픽노블,2
"나는 나로 살기로 했다/   실어증입니다, 일하기싫어증",보유,미상,코믹스/그래픽노블,2
정신병동에도 아침이 와요,보유,이라하,웹툰,2
담요/ 아인슈타인,보유,미상,코믹스/그래픽노블,2
반 고흐/ 어른이 되기는 글렀어,보유,미상,코믹스/그래픽노블,2
배트맨: 노엘,보유,미상,코믹스/그래픽노블,2
배트맨: 타임 앤드 배트맨,보유,미상,코믹스/그래픽노블,2
엑스맨: 다크 피닉스 사가,보유,크리스 클레어,코믹스/그래픽노블,2
슈퍼맨,보유,미상,코믹스/그래픽노블,2
배트맨/,보유,스콧 스나이더,코믹스/그래픽노블,2
어차피 내 마음입니다,보유,미상,코믹스/그래픽노블,2
엄마들,보유,미상,코믹스/그래픽노블,2
"브이 포 벤데타/ 엄마, 오늘도 사랑해",보유,미상,코믹스/그래픽노블,2
"블랙 팬서: 블랙 팬서는 누구인가?/ 오, 마이 캐릭터",보유,미상,코믹스/그래픽노블,2
보노보노처럼 살다니 다행이야/ 위로의 그림책,보유,미상,코믹스/그래픽노블,2
배트맨/ 자꾸 생각나,보유,미상,코믹스/그래픽노블,2
제가 좀 별나긴 합니다만,보유,쥘리 다셰 / 마드무아젤 카롤린,코믹스/그래픽노블,2
파리 여자도 똑같아요,보유,미상,코믹스/그래픽노블,2
할리 퀸 Vol. 1: 도시의 불꽃 유망주/ 할리 퀸 Vol. 2: 나가 버린 파워,보유,미상,코믹스/그래픽노블,2
캡틴 아메리카: 윈터 솔저/ 캡틴 아메리카: 적색의 공포 Vol.,1~2권,미상,코믹스/그래픽노블,2
원조 괴짜가족,1~28권,미상,일상/개그,30
우당탕탕 괴짜가족,1~31권,미상,드라마/스포츠/SF,30
언제나! 원조 괴짜가족,1~23권,미상,일상/개그,30
모래시계,1~10권,미상,로맨스/로판,22
차나왕 요시츠네 겐페이전쟁,1~29권,미상,로맨스/로판,22
러브 콤플렉스,보유,미상,드라마/스포츠/SF,30
나의 히어로 아카데미아 스매시!!,1~5권,호리코시 코헤이,액션/모험,53
나의 히어로 아카데미아,1~45권,호리코시 코헤이,액션/모험,53
지옥락,1~13권,카쿠 유지,액션/모험,49
도원암귀,1~20권,미상,액션/모험,53
마슐,1~17권,코모토 하지메,판타지/무협,58
장송의 프리렌,1~15권,야마다 카네히토,판타지/무협,58
도쿄대 리벤저스,보유,켄 와쿠이,판타지/무협,48
도쿄 리벤저스,1~31권,켄 와쿠이,액션/모험,48
도쿄 리벤저스 ~바지 케이스케로부터의 편지,1~6권,와쿠이 켄,액션/모험,48
승부는 순간의... 운이잖아?,1~2권,미상,드라마/스포츠/SF,4
크게 휘두르며,1~35권,미상,판타지/무협,4
쿵후보이 친미 외전,1~2권,미상,일상/개그,4
란마 1/2,1~38권,타카하시 루미코,일상/개그,4
날려,1~3권,미상,드라마/스포츠/SF,4
소라의 날개,1~48권,미상,드라마/스포츠/SF,4
마린블루의 바람에 안겨,1~3권,미상,드라마/스포츠/SF,4
에어리어의 기사,1~57권,미상,드라마/스포츠/SF,4
무용전,1~3권,미상,드라마/스포츠/SF,4
오프사이드,보유,미상,드라마/스포츠/SF,4
겁쟁이 페달 SPARE BIKE,1~6권,미상,드라마/스포츠/SF,4
겁쟁이 페달,1~79권,와타나베 와타루,드라마/스포츠/SF,4
탁고,1~6권,미상,드라마/스포츠/SF,4
쿵후보이 치미 legends,보유,미상,드라마/스포츠/SF,4
신 쿵후보이 친미,1~20권,미상,일상/개그,4
엔젤 보이스,1~33권,미상,드라마/스포츠/SF,4
다이아몬드 에이스 ACT2,1~31권,유지 테라지마,드라마/스포츠/SF,4
H2 오리지널.,1~34권,미상,드라마/스포츠/SF,4
GO AND GO,1~30권,미상,드라마/스포츠/SF,4
새로운 질풍,1~6권,미상,드라마/스포츠/SF,5
고스트 바둑왕,1~23권,홋타 유미,스릴러/추리/호러,5
군청에 사이렌,1~10권,미상,드라마/스포츠/SF,5
복서,1~23권,미상,드라마/스포츠/SF,5
와일드 리거,1~10권,미상,드라마/스포츠/SF,5
루키즈,1~24권,미상,드라마/스포츠/SF,5
수라의 문 제2문,1~12권,미상,드라마/스포츠/SF,5
환타지스타,1~25권,미상,드라마/스포츠/SF,5
리얼,1~14권,미상,드라마/스포츠/SF,5
숏 바운드,1~33권,미상,드라마/스포츠/SF,5
더 파이팅,1~125권,미상,로맨스/로판,5
탁구 대시,1~15권,미상,드라마/스포츠/SF,5
베이비 스텝,1~45권,미상,드라마/스포츠/SF,5
히카루의 바둑,1~20권,미상,드라마/스포츠/SF,5
사막의 야구부,보유,미상,드라마/스포츠/SF,5
임금님 게임,1~2권,미상,드라마/스포츠/SF,6
신 거인의 별 하나가타,1~22권,미상,드라마/스포츠/SF,6
마츠리스페셜,1~4권,미상,로맨스/로판,6
카페타,1~32권,소다 마사히토,드라마/스포츠/SF,6
신 테니스의 왕자,1~37권,코노미 타케시,드라마/스포츠/SF,6
테니스의 왕자,1~42권,코노미 타케시,드라마/스포츠/SF,6
블리자드 악셀,1~6권,미상,드라마/스포츠/SF,6
그랑블루,1~5권,미상,드라마/스포츠/SF,6
"인사하고, 키스",1~7권,미상,로맨스/로판,6
꼭두각시 서커스,1~43권,미상,드라마/스포츠/SF,6
최강 야구부 리벤저스,1~8권,미상,드라마/스포츠/SF,6
드림,1~71권,아오야마 키요시,드라마/스포츠/SF,6
남학교의 미도리양,1~10권,미상,로맨스/로판,6
더 화이팅,1~125권,조지 모리카와,액션/모험,6
메이저,1~78권,미코토 아소우,드라마/스포츠/SF,6
메이저 세컨드,1~20권,미상,드라마/스포츠/SF,6
크로스게임,1~9권,아다치 미츠루,드라마/스포츠/SF,7
데카슬론,1~23권,미상,드라마/스포츠/SF,7
한판,1~14권,미상,드라마/스포츠/SF,7
디어 보이스 ACT2,1~30권,야가미 히로키,드라마/스포츠/SF,7
그라제니,1~17권,미상,드라마/스포츠/SF,7
쿠로코의 농구,1~30권,후지마키 타다토시,드라마/스포츠/SF,7
스매시,1~18권,사키 카오리,드라마/스포츠/SF,7
에어기어,1~37권,미상,일상/개그,7
디어보이즈 ACT3,1~21권,미상,드라마/스포츠/SF,7
공수도 소공자 코히나타 미노루,1~50권,미상,드라마/스포츠/SF,7
혈계전선,1~10권,미상,일상/개그,62
에리스의 성배,1~2권,미상,판타지/무협,62
마왕의 딸은 너무 친절해!!,1~6권,미상,판타지/무협,62
용비불패 외전,1~12권,미상,액션/모험,62
마술사 쿠논은 보인다,1~1권,이치카와 준,스릴러/추리/호러,62
이누카미!,1~6권,미상,판타지/무협,62
악마에 입문했습니다! 이루마 군,1~48권,미상,로맨스/로판,62
prizona프리조나,보유,미상,판타지/무협,62
페이트 스트레인지 페이크 9 (노벨),보유,미상,판타지/무협,62
고깔모자의 아틀리에/ 유큐홀더(UQ HOLDER),1~14권,미상,판타지/무협,63
팝팀 에픽/ 월드 트리거,1~16권,미상,판타지/무협,63
태양의 묵시록,1~17권,미상,판타지/무협,63
람페이지,1~3권,미상,판타지/무협,63
가면전사 아쿠메츠,1~18권,미상,로맨스/로판,63
신은 사는게 괴로워,1~3권,미상,로맨스/로판,63
장국의 알타이르,1~18권,미상,로맨스/로판,63
럭 스틸러,1~4권,미상,판타지/무협,63
세인트 영멘,1~19권,히카루 나카무라,일상/개그,63
신님X나님X자기님,1~4권,미상,판타지/무협,63
유유백서,1~19권,미상,로맨스/로판,63
일하지 않는 두 사람,1~5권,요시다 사토루,드라마/스포츠/SF,63
얼라이브,1~21권,미상,판타지/무협,63
판도라 하츠,1~24권,미상,판타지/무협,63
세븐스 가든,1~6권,미상,판타지/무협,63
떠돌이 용병 아레스,1~26권,미상,판타지/무협,63
군화의 발차,1~7권,미상,판타지/무협,63
겟 백커스,1~39권,미상,판타지/무협,63
유령왕,1~7권,미상,일상/개그,63
유레카,1~41권,미상,액션/모험,63
아드 아스트라 스키피오와 한니발,1~9권,미상,판타지/무협,63
마제,1~55권,미상,로맨스/로판,63
쌍성의 음양사,1~10권,미상,판타지/무협,63
이누야샤,1~56권,타카하시 루미코,판타지/무협,63
충사,1~10권,우루시바라 유키,판타지/무협,63
은아전설 위드,1~59권,미상,판타지/무협,63
아라타 칸가타리,1~13권,미상,판타지/무협,63
에덴,보유,미상,판타지/무협,63
에이리어 D 14/,보유,미상,판타지/무협,63
다이몬즈 13,1~55권,미상,판타지/무협,63
Introduction to Chemical Engineering Thermodynamics,1~7권,미상,판타지/무협,63
E,보유,전상영,드라마/스포츠/SF,63
yong,보유,미상,판타지/무협,63
우주전함 티라미스,1~2권,미상,판타지/무협,64
셀레스티얼 클로즈,1~11권,미상,판타지/무협,64
스모모모모모모,1~12권,미상,판타지/무협,64
우치하 사스케의 사륜안전,1~2권,미상,액션/모험,48
삐리리 불어봐 재규어,1~12권,미상,액션/모험,48
문호 스트레이독스 멍!,1~3권,아사기리 카프카/하루카와 35,액션/모험,50
문호 스트레이독스,1~25권,하루카와 산고,판타지/무협,50
이문수호전,1~3권,미상,판타지/무협,64
유녀전기,1~12권,미상,로맨스/로판,64
비스트 나인,1~5권,미상,판타지/무협,64
사이코 메트러,1~15권,미상,판타지/무협,64
바사라,1~27권,미상,코믹스/그래픽노블,64
플래티넘 엔드,1~6권,미상,스릴러/추리/호러,64
마왕성에서 잘자요,1~19권,미상,액션/모험,64
스트라바간차,1~7권,미상,액션/모험,64
어떤 마술의 금서목록,1~19권,미상,일상/개그,64
몽환 백서,1~20권,-,액션/모험,64
가부쿠몬,1~8권,타카하시 츠토무,액션/모험,64
빌리 배트,1~20권,우라사와 나오키,스릴러/추리/호러,64
브레이브10 8/,보유,미상,판타지/무협,64
시비토의 검,1~8권,미상,판타지/무협,64
아이 앰 어 히어로,1~22권,미상,코믹스/그래픽노블,64
코드 기어스 반역의 를르슈,1~8권,마지코,드라마/스포츠/SF,64
용오,1~22권,미상,액션/모험,64
히카리맨,1~8권,미상,일상/개그,64
청의 엑소시스트,1~23권,미상,로맨스/로판,64
삼각창의 밖은 밤,1~10권,미상,판타지/무협,64
쿠니미츠의 정치,1~27권,미상,판타지/무협,64
이키가미,1~10권,미상,드라마/스포츠/SF,64
금색의 갓슈,1~33권,미상,로맨스/로판,64
타부 타투(Taboo Tattoo),1~10권,미상,판타지/무협,64
웨스턴 샷건,1~40권,미상,판타지/무협,64
D.N.Angel.,1~14권,미상,판타지/무협,64
이빨의 행상인,1~3권,미상,로맨스/로판,65
가면 라이더 스피리츠,1~16권,미상,판타지/무협,65
월광 (ASTRAL PROJECT),1~4권,미상,판타지/무협,65
데드 프린세스,1~16권,미상,스릴러/추리/호러,65
언젠가 천마의 검은 토끼,1~6권,미상,판타지/무협,65
공작왕,1~17권,미상,판타지/무협,65
월드 엠브리오,1~6권,미상,판타지/무협,65
노라가미,1~18권,미상,판타지/무협,65
타이거 앤 버니,1~7권,미상,판타지/무협,65
어이 료마,1~23권,미상,판타지/무협,65
신의 아이,1~8권,미상,로맨스/로판,65
소울이터,1~25권,오쿠보 아츠시,액션/모험,65
무적도,1~6권,미상,드라마/스포츠/SF,14
죄수 리쿠,1~31권,미상,판타지/무협,14
너의 나이프,1~10권,미상,액션/모험,14
돌격 크로마티 고교,1~17권,미상,액션/모험,14
클로버,1~43권,토리코 치야,로맨스/로판,14
도쿄 크레이지 파라다이스,1~19권,미상,액션/모험,14
사채꾼 우시지마,1~46권,미상,드라마/스포츠/SF,14
블랙캣,1~20권,미상,코믹스/그래픽노블,14
짱,1~74권,미상,액션/모험,14
레인보우(RAINBOW),1~22권,미상,액션/모험,14
멋진남자 김태랑,보유,미상,액션/모험,14
돌격 남자훈련소2부,1~25권,미상,액션/모험,14
돌격! 남자훈련소,1~34권,미상,액션/모험,14
WORST 워스트 외전,보유,미상,액션/모험,14
WORST 워스트,1~33권,미상,액션/모험,14
귀,1~5권,히라노 료지/고토게 코요하루,액션/모험,15
서울 협객전,1~28권,미상,드라마/스포츠/SF,15
손영기,1~5권,미상,액션/모험,15
창천항로,1~36권,미상,로맨스/로판,15
도시로 올시다,1~8권,미상,액션/모험,15
용랑전,1~37권,미상,드라마/스포츠/SF,15
전설의 캡짱 쇼우,1~11권,미상,액션/모험,15
해황기,1~45권,미상,판타지/무협,15
용랑전 중원요란편,1~17권,미상,드라마/스포츠/SF,15
삼국 장군전,1~52권,미상,액션/모험,15
창천의 권,1~22권,하라 테츠오/부론손,액션/모험,15
킹덤,1~75권,마오 후지사키,로맨스/로판,15
죽음이 두 사람을 갈라놓을 때까지,1~25권,미상,드라마/스포츠/SF,15
