"도서명","보유권수","작가","목표장르","목표구역","기존서가","기존장르"
"원펀맨","1~35권","원, 무라타 유스케","판타지/무협","D","17","판타지,SF"
"이누야시키","단권/완비","오쿠 히로야","판타지/무협","D","9","sf, 판타지"
"일곱개의 대죄","1~41권","스즈키 나카바","판타지/무협","D","14","판타지,SF"
"장송의 프리렌","1~15권","야마다 카네히토","판타지/무협","D","17","판타지,SF"
"전지적 독자 시점","단권/완비","슬리피","판타지/무협","D","3","판타지"
"제로에서 시작하는 마법의 서","1~6권","코바시리 카케루","판타지/무협","D","11","판타지,SF"
"종말의 세라프","1~33권","카가미 타카야","판타지/무협","D","12","판타지,SF"
"지박소년 하나코군","1~25권","아이다이로","판타지/무협","D","1","판타지,SF"
"천지창조 디자인부","1~8권","헤비 조우/츠타 스즈키","판타지/무협","D","18","판타지,SF"
"총몽 라스트 오더","1~12권","기시로 유키토","판타지/무협","D","17","판타지,SF"
"총몽 완전판 (알리타 원작)","1~6권","기시로 유키토","판타지/무협","D","5","판타지,SF"
"총몽 화성전기","1~9권","기시로 유키토","판타지/무협","D","17","판타지,SF"
"카구라바치","1~10권","타케루 호카조노","판타지/무협","D","1","판타지,SF"
"현자의 긴 부재","1~8권","모야무 후지노","판타지/무협","D","18","Sf"
"히로인즈 게임","1~3권","이오리 타바사","판타지/무협","D","9","판타지,SF"
"GIGANT (기간트)","1~10권","오쿠 히로야","판타지/무협","D","9","판타지,SF"
"개구리 하사 케로로","1~24권","요시자키 미네","일상/개그","E","18","명랑,코믹"
"개구리 하사 케로로 <특별판>","1~3권","요시자키 미네","일상/개그","E","18","명랑,코믹"
"괴짜가족","1~31권","켄지 하마오카","일상/개그","E","18","명랑,코믹"
"그램그램 영문법 원정대","단권/완비","장영준","일상/개그","E","20","아이, 교육"
"극주부도","1~15권","코우즈케 오오노","일상/개그","E","12","명랑,코믹"
"내일은 발명왕","단권/완비","곰돌이","일상/개그","E","6","아이, 교육"
"도라에몽","1~45권","후지코F 후지오","일상/개그","E","18","명랑,코믹"
"도라에몽","1~1권","후지코F 후지오","일상/개그","E","18","명랑,코믹"
"도라에몽 극장판 <진구의 인어대해전>","1~1권","후지코F 후지오","일상/개그","E","18","명랑,코믹"
"도라에몽 장편시리즈","1~23권","후지코F 후지오","일상/개그","E","18","명랑,코믹"
"도라에몽 컬러작품집","1~2권","후지코F 후지오","일상/개그","E","18","명랑,코믹"
"도라에몽 플러스","1~5권","후지코F 후지오","일상/개그","E","18","명랑,코믹"
"도티&잠뜰 코믹시리즈","단권/완비","김현수","일상/개그","E","20","아이, 코믹"
"레벨업 카카오프렌즈","단권/완비","김미영","일상/개그","E","20","아이, 교육"
"마루밑 아리에티","1~4권","미야자키 하야오","일상/개그","E","20","명랑,코믹"
"메이플스토리 수학도둑","단권/완비","여운방","일상/개그","E","20","아이, 교육"
"미기와 다리","1~7권","사노 나미","일상/개그","E","12","명랑,코믹"
"백 스트리트 걸스","1~12권","재스민 규","일상/개그","E","12","명랑,코믹"
"벼랑 위의 포뇨","1~4권","미야자키 하야오","일상/개그","E","18","명랑,코믹"
"보노보노","1~45권","이가라시 미키오","일상/개그","E","18","명랑,코믹"
"보노보노","1~45권","이가라시 미키오","일상/개그","E","18","명랑,코믹"
"사카모토 데이즈","1~26권","유토 스즈키","일상/개그","E","1","명랑,코믹"
"세인트 영멘","1~21권","히카루 나카무라","일상/개그","E","6","명랑,코믹"
"센과 치히로의 행방불명","1~5권","미야자키 하야오","일상/개그","E","18","명랑,코믹"
"스파이 패밀리","1~16권","타츠야 엔도","일상/개그","E","1","명랑,코믹"
"스페셜 솔져 생존탐험대","단권/완비","유대영","일상/개그","E","20","아이, 교육"
"스페셜 솔져 영단어를 쏴라","단권/완비","송도수","일상/개그","E","20","아이, 교육"
"아만츄","1~17권","아마노 코즈에","일상/개그","E","18","명랑,코믹"
"여학교의 별","1~4권","아야마 야마","일상/개그","E","12","명랑,코믹"
"요츠바랑","1~16권","아즈마 키요히코","일상/개그","E","18","명랑,코믹"
"월간순정 노자키군","1~16권","이즈미 츠바키","일상/개그","E","11","명랑,코믹"
"은혼","1~77권","소라치 히데아키","일상/개그","E","16","판타지,SF"
"이웃집 토토로","1~4권","미야자키 하야오","일상/개그","E","18","명랑,코믹"
"일하는 세포 black","단권/완비","","일상/개그","E","1","일상"
"조조코믹스","1~3권","이동건","일상/개그","E","5","일상"
"카카오프렌즈 과학 탐정단","단권/완비","조영선","일상/개그","E","20","아이, 교육"
"하울의 움직이는 성","1~4권","미야자키 하야오","일상/개그","E","18","명랑,코믹"
"한다군","1~7권","요시노 사츠키","일상/개그","E","12","명랑,코믹"
"흔한 남매 불꽃 튀는 우리말","단권/완비","한은호","일상/개그","E","20","아이, 교육"
"GOGO 카카오프렌즈","단권/완비","김미영","일상/개그","E","20","아이, 교육"
"GTO","1~14권","후지사와 토오루","일상/개그","E","9","일상"
"GTO 파라다이스 로스트","1~20권","후지사와 토오루","일상/개그","E","9","일상"
"고스트 바둑왕","1~23권","홋타 유미","스릴러/추리/호러","F","14","탐정,추리,게임"
"기기괴괴 시리즈","1~5권","오성대","스릴러/추리/호러","F","9","호러,디스토피아"
"기생수","1~8권","이와아키 히토시","스릴러/추리/호러","F","9","호러,디스토피아"
"기생수 리버시","1~8권","이와아키 히토시","스릴러/추리/호러","F","9","판타지,SF"
"김전일 37세의 사건부","1~18권","기바야시 신, 사토 후미야","스릴러/추리/호러","F","15","탐정,추리,게임"
"데스노트","1~12권","오바 츠구미","스릴러/추리/호러","F","12","호러,디스토피아"
"도쿄구울","1~14권","스이 이시다","스릴러/추리/호러","F","9","호러,디스토피아"
"도쿄구울:re","1~16권","스이 이시다","스릴러/추리/호러","F","9","호러,디스토피아"
"머니게임","1~4권","배진수","스릴러/추리/호러","F","5","탐정,추리,게임"
"명탐정 코난","1~107권","아오야마 고쇼","스릴러/추리/호러","F","15","탐정,추리,게임"
"소년탐정 김전일 30th","1~4권","기바야시 신, 사토 후미야","스릴러/추리/호러","F","15","탐정,추리,게임"
"소년탐정 김전일 시즌1","1~39권","기바야시 신","스릴러/추리/호러","F","15","탐정,추리,게임"
"소년탐정 김전일 시즌2","1~32권","기바야시 신, 사토 후미야","스릴러/추리/호러","F","15","탐정,추리,게임"
"소년탐정 김전일 특별판","1~6권","기바야시 신","스릴러/추리/호러","F","15","탐정,추리,게임"
"스위트 홈","1~12권","김칸비","스릴러/추리/호러","F","3","호러,디스토피아"
"신이 말하는대로","1~5권","카네시로 무네유키","스릴러/추리/호러","F","9","호러,디스토피아"
"신이 말하는대로 제2부","1~21권","카네시로 무네유키","스릴러/추리/호러","F","9","호러,디스토피아"
"신체찾기","1~17권","무라세 카츠토시","스릴러/추리/호러","F","9","호러,디스토피아"
"신체찾기 (해)","1~5권","무라세 카츠토시","스릴러/추리/호러","F","9","호러,디스토피아"
"심령탐정 야쿠모","1~2권","리츠 미야코","스릴러/추리/호러","F","9","탐정,추리,게임"
"심령탐정 야쿠모","1~14권","스즈카 오다","스릴러/추리/호러","F","9","탐정,추리,게임"
"아인","1~17권","사쿠라이 가몬, 미우라 츠이나","스릴러/추리/호러","F","12","판타지,SF"
"아일랜드 : 무법도","1~6권","모리 코우지","스릴러/추리/호러","F","9","호러,디스토피아"
"아일랜드 : 자살도","1~17권","모리 코우지","스릴러/추리/호러","F","9","호러,디스토피아"
"약사의 혼잣말","1~15권","네코쿠라게","스릴러/추리/호러","F","1","탐정,추리,게임"
"이토준지 공포박물관","1~10권","이토 준지","스릴러/추리/호러","F","9","호러,디스토피아"
"인간실격","1~3권","이토 준지","스릴러/추리/호러","F","9","호러,디스토피아"
"저속령","1~10권","오카즈 사키","스릴러/추리/호러","F","9","호러,디스토피아"
"지금 우리 학교는","1~5권","주동근","스릴러/추리/호러","F","9","호러,디스토피아"
"지옥","1~2권","연상호/최규석","스릴러/추리/호러","F","3","호러,디스토피아"
"치하야후루","1~50권","유키 스에츠구","스릴러/추리/호러","F","7","탐정,추리,게임"
"카케구루이","1~19권","아시하라 다이스케","스릴러/추리/호러","F","13","탐정,추리,게임"
"카케구루이 트윈","1~15권","아시하라 다이스케","스릴러/추리/호러","F","13","탐정,추리,게임"
"환괴지대","1~1권","이토 준지","스릴러/추리/호러","F","9","호러,디스토피아"
"환상인형괴담","1~5권","유조 타카다","스릴러/추리/호러","F","9","호러,디스토피아"
"후레자식","1~5권","김칸비","스릴러/추리/호러","F","4","호러,디스토피아"
"히카루가 죽은 여름","1~8권","모쿠모쿠 렌","스릴러/추리/호러","F","1","호러,디스토피아"
"겁쟁이 페달","1~92권","와타나베 와타루","드라마/스포츠/SF","G","6","스포츠"
"꽃보다도 꽃처럼","1~22권","나리타 미나코","드라마/스포츠/SF","G","10","일상,드라마"
"다이아몬드 에이스","1~47권","유지 테라지마","드라마/스포츠/SF","G","5","스포츠"
"다이아몬드 에이스 2 외전","단권/완비","","드라마/스포츠/SF","G","5","스포츠"
"다이아몬드 에이스 act2","1~34권","유지 테라지마","드라마/스포츠/SF","G","5","스포츠"
"던전밥","1~14권","쿠이 료코","드라마/스포츠/SF","G","12","요리,술"
"디어보이스  ACT1","1~23권","야가미 히로키","드라마/스포츠/SF","G","18","스포츠"
"디어보이스  ACT2","1~30권","야가미 히로키","드라마/스포츠/SF","G","18","스포츠"
"디어보이스  ACT3","1~21권","야가미 히로키","드라마/스포츠/SF","G","18","스포츠"
"라면 짱","1~17권","츠지야마 시게루","드라마/스포츠/SF","G","8","요리,술"
"리얼 (Real)","1~16권","이노우에 다케히코","드라마/스포츠/SF","G","5","스포츠"
"먹짱!","1~24권","츠치야마 시게루","드라마/스포츠/SF","G","8","요리,술"
"메달리스트","1~14권","츠루마 이카다","드라마/스포츠/SF","G","6","스포츠"
"메이저","1~78권","미코토 아소우","드라마/스포츠/SF","G","18","스포츠"
"메이저 2nd","1~30권","미코토 아소우","드라마/스포츠/SF","G","18","스포츠"
"모모의 의술사","1~3권","산바 나오모토/논 아사노","드라마/스포츠/SF","G","10","일상,드라마"
"미스터 요리왕","1~41권","스에다 유이치로","드라마/스포츠/SF","G","8","요리,술"
"미스터 초밥왕","1~27권","테라사와 다이스케","드라마/스포츠/SF","G","8","요리,술"
"미스터 초밥왕 전국대회편 (애장판)","1~8권","카츠시카 호쿠세이/우라사와 나오키","드라마/스포츠/SF","G","8","요리,술"
"미유키","1~5권","아다치 미쯔루","드라마/스포츠/SF","G","5","스포츠"
"믹스(Mix)","1~23권","아다치 미쯔루","드라마/스포츠/SF","G","5","스포츠"
"바라카몬","1~19권","요시노 사츠키","드라마/스포츠/SF","G","12","일상,드라마"
"바쿠만","1~20권","오바 츠구미","드라마/스포츠/SF","G","9","일상,드라마"
"바텐더","1~21권","조 아라키","드라마/스포츠/SF","G","8","요리,술"
"봇치 더 록","1~8권","아키 하마지","드라마/스포츠/SF","G","11","일상,드라마"
"북유럽 빵빠라빵 여행","1~1권","야마모토 아리","드라마/스포츠/SF","G","20","요리,술"
"블루 록","1~36권","카네시로 무네유키","드라마/스포츠/SF","G","13","스포츠"
"블루 록 나기","단권/완비","카네시로 무네유키","드라마/스포츠/SF","G","13","스포츠"
"블루 자이언트","1~10권","이시즈카 신이치","드라마/스포츠/SF","G","8","일상,드라마"
"블루 자이언트 슈프림","1~11권","이시즈카 신이치","드라마/스포츠/SF","G","20","일상,드라마"
"블루 자이언트 익스플로러","1~9권","이시즈카 신이치","드라마/스포츠/SF","G","20","일상,드라마"
"술꾼도시처녀들","1~3권","미깡","드라마/스포츠/SF","G","3","요리,술"
"스매시!","1~18권","사키 카오리","드라마/스포츠/SF","G","8","스포츠"
"슬램덩크","1~31권","이노우에 다케히코","드라마/스포츠/SF","G","5","스포츠"
"식객","1~27권","허영만","드라마/스포츠/SF","G","2","요리,술"
"식객2","1~3권","허영만","드라마/스포츠/SF","G","2","요리,술"
"식극의 소마","1~36권","츠쿠다 유우토","드라마/스포츠/SF","G","8","요리,술"
"신의 물방울","1~44권","기바야시 신","드라마/스포츠/SF","G","8","요리,술"
"신의 물방울 2부 마리아주","1~26권","기바야시 신","드라마/스포츠/SF","G","8","요리,술"
"신의 물방울 3부 되지엠","1~2권","기바야시 신","드라마/스포츠/SF","G","8","요리,술"
"신의 물방울 스핀오프 괴도 르 뱅","1~2권","기바야시 신","드라마/스포츠/SF","G","8","요리,술"
"심야식당","1~30권","아베 야로","드라마/스포츠/SF","G","8","요리,술"
"쌍갑포차","1~20권","배혜수","드라마/스포츠/SF","G","3","요리,술"
"아르테","1~20권","오쿠보 케이","드라마/스포츠/SF","G","12","일상,드라마"
"아사 이야기","1~9권","우라사와 나오키","드라마/스포츠/SF","G","18","일상,드라마"
"언성 신데렐라","1~12권","마마레 아라이","드라마/스포츠/SF","G","6","일상,드라마"
"오무라이스 잼잼","1~12권","조경규","드라마/스포츠/SF","G","2","요리,술"
"우주형제","1~45권","츄야 코야마","드라마/스포츠/SF","G","8","일상,드라마"
"일하지 않는 두 사람","1~11권","요시다 사토루","드라마/스포츠/SF","G","7","일상,드라마"
"정치9단","1~20권","히로카네 켄시","드라마/스포츠/SF","G","9","일상,드라마"
"조선왕조실톡","1~7권","무적핑크","드라마/스포츠/SF","G","18","역사"
"출동 119 구조대","1~20권","소다 마사히토","드라마/스포츠/SF","G","19","일상,드라마"
"카페타","1~32권","소다 마사히토","드라마/스포츠/SF","G","18","스포츠"
"커피 한잔 할까요?","1~8권","허영만","드라마/스포츠/SF","G","5","요리,술"
"크로스게임 소장판","1~9권","아다치 미쯔루","드라마/스포츠/SF","G","5","스포츠"
"클로저 이상용","1~11권","최훈","드라마/스포츠/SF","G","18","스포츠"
"터치","1~11권","아다치 미쯔루","드라마/스포츠/SF","G","5","스포츠"
"테니스의 왕자","1~42권","코노미 타케시","드라마/스포츠/SF","G","5","스포츠"
"테니스의 왕자 (신)","1~40권","고노미 타케시","드라마/스포츠/SF","G","6","스포츠"
"퍼펙트게임 시즌1","1~3권","장이","드라마/스포츠/SF","G","18","스포츠"
"퍼펙트게임 시즌2","1~5권","장이","드라마/스포츠/SF","G","18","스포츠"
"퍼펙트게임 시즌3","1~6권","장이","드라마/스포츠/SF","G","18","스포츠"
"하이큐","1~45권","후루다테 하루이치","드라마/스포츠/SF","G","13","스포츠"
"하이큐 스핀오프 (렛츠 하이큐)","1~8권","후루다테 하루이치","드라마/스포츠/SF","G","13","스포츠"
"H2","1~17권","아다치 미쯔루","드라마/스포츠/SF","G","5","스포츠"
"밤을 걷는 선비","1~20권","조주희","BL/GL","H","4","순정"
"뉴 52! 원더 우먼. 1: 피(DC COMICS)","1~1권","브라이언 아자렐로","코믹스/그래픽노블","J","20","마블DC"
"데드풀","1~4권","Gerry","코믹스/그래픽노블","J","20","마블DC"
"도서관의 주인","1~15권","우미하루 시노하라","코믹스/그래픽노블","J","18","코믹스"
"도서관의 주인","1~15권","우미하루 시노하라","코믹스/그래픽노블","J","18","코믹스"
"배트맨","1~6권","스콧 스나이더","코믹스/그래픽노블","J","20","마블DC"
"복원가의 집","1~24권","김상엽","코믹스/그래픽노블","J","18","코믹스"
"사가(Saga)","1~9권","브라이언 K","코믹스/그래픽노블","J","20","마블DC"
"사카모토 입니다만?","1~4권","사노 나미","코믹스/그래픽노블","J","12","코믹스"
"수어사이드 스쿼드","1~2권","아담 글래스","코믹스/그래픽노블","J","20","마블DC"
"슈퍼맨 배트맨: 공공의 적","1~1권","제프 로브","코믹스/그래픽노블","J","20","마블DC"
"시빌 워(시공 그래픽 노블)","1~1권","마크 밀러","코믹스/그래픽노블","J","20","마블DC"
"아메리칸 뱀파이어","1~5권","스콧 스나이더","코믹스/그래픽노블","J","20","마블DC"
"아이언 맨 : S.H.I.E.L.D. 국장","1~1권","대니얼 & 찰","코믹스/그래픽노블","J","20","마블DC"
"아이언 맨: 엑시큐트 프로그램","1~1권","대니얼 노프","코믹스/그래픽노블","J","20","마블DC"
"아이언 맨: 익스트리미스","1~1권","워런 엘리스","코믹스/그래픽노블","J","20","마블DC"
"아이언 맨: 헌티드","1~1권","대니얼 & 찰","코믹스/그래픽노블","J","20","마블DC"
"앤트맨","1~2권","BLU-RAY","코믹스/그래픽노블","J","20","마블DC"
"어메이징 스파이더맨","1~4권","댄 슬롯","코믹스/그래픽노블","J","20","마블DC"
"어벤저스 : 엔드게임 프렐류드","1~1권","읠 코로나 필그림","코믹스/그래픽노블","J","20","마블DC"
"어벤저스 디스어셈블드","1~1권","Brian M","코믹스/그래픽노블","J","20","마블DC"
"엑스맨 : 세컨드 커밍(Marvel)","1~1권","크레이그 카일","코믹스/그래픽노블","J","20","마블DC"
"엑스맨: 다크 피닉스 사가","1~1권","크리스 클레어","코믹스/그래픽노블","J","20","마블DC"
"엑스맨: 데들리 제네시스","1~1권","크리스 클레어","코믹스/그래픽노블","J","20","마블DC"
"엑스맨: 데이즈 오브 퓨쳐 패스트","1~1권","크리스 클레어","코믹스/그래픽노블","J","20","마블DC"
"엑스맨: 뮤턴트 제네시스","1~1권","크리스 클레어","코믹스/그래픽노블","J","20","마블DC"
"울고싶은 날의 보노보노","1~1권","이가라시 미키오","코믹스/그래픽노블","J","20","그래픽노블"
"위로받고 싶은 날의 보노보노","1~1권","이가라시 미키오","코믹스/그래픽노블","J","20","그래픽노블"
"저스티스 리그, 위대한 승리","1~9권","제프 존스","코믹스/그래픽노블","J","20","마블DC"
"제가 좀 별나긴 합니다만…","1~1권","쥘리 다셰 / 마드무아젤 카롤린","코믹스/그래픽노블","J","20","그래픽노블"
"추락","1~1권","마드무아젤 카롤린","코믹스/그래픽노블","J","20","그래픽노블"
"캡틴 아메리카: 윈터 솔저","1~1권","에드 브루베이커","코믹스/그래픽노블","J","20","마블DC"
"캡틴 아메리카: 적색의 공포","1~2권","에드 브루베이커","코믹스/그래픽노블","J","20","마블DC"
"커프스","1~32권","토조 진","코믹스/그래픽노블","J","7","코믹스"
"토르: 천둥의 시대(Marvel)","1~1권","Matt Fraction","코믹스/그래픽노블","J","20","마블DC"
"하우스 오브 엠(시공 그래픽 노블)","1~1권","BRIANMI","코믹스/그래픽노블","J","20","마블DC"
"할리 퀸","1~2권","롭 윌리엄스","코믹스/그래픽노블","J","20","마블DC"
"헐크: 월드 워 헐크(MARVEL)","1~1권","Greg Pak","코믹스/그래픽노블","J","20","마블DC"
"헐크: 플래닛 헐크(시공 그래픽 노블)","1~1권","Greg Pak","코믹스/그래픽노블","J","20","마블DC"
"SECRET WAR(시크릿 워)(시공 그래픽 노블)","1~1권","빅셔너리","코믹스/그래픽노블","J","20","마블DC"
"Wolverine Weapon X(울버린 웨폰 X)(Marvel)","1~1권","마블 코믹스","코믹스/그래픽노블","J","20","마블DC"
"Wolverine(울버린)(Marvel)","1~1권","마블 코믹스","코믹스/그래픽노블","J","20","마블DC"
"Wolverine(울버린)올드 맨 로건","1~1권","마블 코믹스","코믹스/그래픽노블","J","20","마블DC"
