도서명,보유권수,작가,목표장르,기존서가
양말 도깨비 외전,보유,웹툰 작가,웹툰,21
위 아더 좀비,1~9권,웹툰 작가,웹툰,21
아랫집 시누이,보유,웹툰 작가,웹툰,21
1초,1~5권,웹툰 작가,웹툰,21
이미테이션,1~12권,웹툰 작가,웹툰,21
여중생 A,1~5권,허5파6,웹툰,21
크리스토퍼 베하인,보유,웹툰 작가,웹툰,22
커피도둑,1~3권,웹툰 작가,웹툰,22
커피와 스무디,1~2권,웹툰 작가,웹툰,22
킹스 메이커,1~7권,웹툰 작가,웹툰,22
카페 보문을 부탁해요,1~2권,웹툰 작가,웹툰,22
큐브릭,1~3권,웹툰 작가,웹툰,22
크리스마스는 쨈과 함께,1~3권,웹툰 작가,웹툰,22
투명한 동거,1~3권,웹툰 작가,웹툰,22
타임 인 조선,1~4권,웹툰 작가,웹툰,22
TEN,1~4권,웹툰 작가,웹툰,22
지독하게 끌어안고 지독하게 키스하고,1~10권,웹툰 작가,웹툰,22
통,1~10권,민,액션/모험,22
투명살인,1~2권,웹툰 작가,웹툰,22
탈모왕 이마반,보유,웹툰 작가,웹툰,22
타인은 지옥이다,1~3권,김용키,웹툰,22
플라스틱 걸,1~2권,웹툰 작가,웹툰,22
패션왕,1~2권,웹툰 작가,웹툰,22
플로우,1~6권,웹툰 작가,웹툰,22
카드 캡터 사쿠라,1~15권,웹툰 작가,웹툰,22
캐릭 캐릭 체인지,1~12권,-,로맨스/로판,22
표류교실,1~3권,웹툰 작가,웹툰,22
플랫 다이어리,1~2권,웹툰 작가,웹툰,22
핑크레이디,1~4권,웹툰 작가,웹툰,22
마리히엔,1~4권,웹툰 작가,웹툰,22
풀 뜯어먹는 소리,1~2권,웹툰 작가,웹툰,22
PTSD,1~2권,웹툰 작가,웹툰,22
픽셀 오브 라이프,1~4권,웹툰 작가,웹툰,22
폴,1~3권,후지사와 토오루,일상/개그,22
파인,1~4권,윤태호,웹툰,22
프릭,1~4권,웹툰 작가,웹툰,22
프린스의 왕자,1~3권,웹툰 작가,웹툰,22
헬퍼,1~18권,웹툰 작가,웹툰,22
화장지워주는 남자,1~7권,이연,웹툰,22
환생동물학교,1~3권,웹툰 작가,웹툰,22
환골탈태,1~2권,웹툰 작가,웹툰,22
해치지 않아,1~2권,웹툰 작가,웹툰,22
호랑이 형님,1~13권,웹툰 작가,웹툰,22
황제와 여기사,1~8권,웹툰 작가,웹툰,22
후레자식,1~5권,김칸비,웹툰,22
헤어진 다음 날 달리기,보유,웹툰 작가,웹툰,22
황제의 외동딸,1~14권,윤슬,웹툰,22
흰둥이,1~2권,웹툰 작가,웹툰,22
화우요,1~5권,웹툰 작가,웹툰,22
하루만 네가 되고 싶어,1~7권,삼,웹툰,22
홍차 리브레,1~2권,웹툰 작가,웹툰,22
HO!,1~3권,웹툰 작가,웹툰,22
하루꾼,1~5권,웹툰 작가,웹툰,22
화산귀환,1~12권,비가,웹툰,22
힙합 몬스터,보유,우라사와 나오키,스릴러/추리/호러,22
식객,1~27권,허영만,드라마/스포츠/SF,22
식객 팔도를 간다,1~7권,웹툰 작가,웹툰,22
식객 2,1~3권,허영만,드라마/스포츠/SF,22
꼴,1~9권,웹툰 작가,웹툰,22
허영만의 커피 한 잔 할까요,1~8권,웹툰 작가,웹툰,22
허허 동의 보감,1~2권,웹툰 작가,웹툰,22
허영만의 3천만원,1~4권,웹툰 작가,웹툰,22
말에서 내리지 않는 무사,1~8권,웹툰 작가,웹툰,22
굿모닝 티처,1~4권,웹툰 작가,웹툰,22
블러드 레인,1~5권,민,액션/모험,22
바람의 나라,1~4권,웹툰 작가,웹툰,22
발자국이 녹기 전에,1~2권,웹툰 작가,웹툰,22
밤의 친구들,1~2권,웹툰 작가,웹툰,22
북검전기,1~3권,웹툰 작가,웹툰,22
방과후 전쟁활동,1~5권,하일권,웹툰,22
별똥별이 떨어지는 그 곳에서 기다려,1~2권,웹툰 작가,웹툰,22
붉은 여우,1~7권,하마,웹툰,22
브릿지,1~5권,강풀,웹툰,22
부암도 복수자 소셜클럽,1~6권,웹툰 작가,웹툰,22
버진하우스,1~2권,웹툰 작가,웹툰,22
바로잡는 순애보,보유,웹툰 작가,웹툰,22
바른연애 길잡이,1~11권,남수,웹툰,22
불순한 동거동락,1~2권,웹툰 작가,웹툰,22
바보,1~2권,강풀,웹툰,22
바리공주,보유,웹툰 작가,웹툰,22
밥 먹고 갈래요,1~6권,웹툰 작가,웹툰,22
빙탕후루,1~9권,장희/주호민,웹툰,22
부농코 말랑 젤리,보유,웹툰 작가,웹툰,22
신의 탑,1~16권,SIU,웹툰,22
심연의 하늘,1~10권,윤인완,웹툰,22
켄짱과 고양이,보유,웹툰 작가,웹툰,22
신기록,1~7권,웹툰 작가,웹툰,22
식물생활,1~2권,웹툰 작가,웹툰,22
성공한 덕후,1~2권,-,웹툰,22
시동,1~4권,조금산,웹툰,22
샤크,1~9권,운,액션/모험,22
삼봉이발소,1~3권,웹툰 작가,웹툰,22
술꾼 도시 처녀들,1~3권,미깡,웹툰,22
송곳,1~6권,최규석,웹툰,22
사람 냄새,보유,웹툰 작가,웹툰,22
강풀 순정만화,1~2권,웹툰 작가,웹툰,22
신사의 집,1~2권,웹툰 작가,웹툰,22
사람일까?,1~4권,웹툰 작가,웹툰,22
썸머 브리즈,보유,웹툰 작가,웹툰,22
쌍갑포차,1~20권,배혜수,웹툰,22
시녀로 살아남기,1~6권,웹툰 작가,웹툰,22
시월드가 내게 집착한다,1~3권,웹툰 작가,웹툰,22
신과 함께 저승편,1~3권,웹툰 작가,웹툰,22
신과 함께 이승편,1~2권,주호민,웹툰,22
신과 함께 신화편,1~3권,주호민,웹툰,22
신과함께 리메이크,1~4권,웹툰 작가,웹툰,22
슈퍼시크릿,1~4권,웹툰 작가,웹툰,22
역사 도둑,1~6권,미상,일상/개그,23
보물섬,1~9권,미상,일상/개그,23
메이플스토리 영어 도둑,1~7권,미상,일상/개그,23
메이플스토리 한자 도둑,1~27권,미상,일상/개그,23
메이플스토리 과학 도둑,1~11권,미상,일상/개그,23
메이플스토리 파이팅 논술,1~3권,미상,일상/개그,23
설민석의 한국사 대모험,1~25권,미상,일상/개그,23
정재승의 인간탐구보고서,보유,미상,일상/개그,23
반지의 비밀일기,보유,미상,일상/개그,23
백종원의 도전 요리왕,보유,미상,일상/개그,23
코믹 메이플스토리,1~100권,미상,일상/개그,23
마법천자문 과학원정대,1~11권,미상,일상/개그,23
원조 괴짜가족,1~28권,미상,일상/개그,23
언제나 원조 괴짜가족,1~24권,미상,일상/개그,23
베스트 원조 괴짜가족,1~9권,미상,일상/개그,23
장하다 원조 괴짜가족,1~11권,미상,일상/개그,23
괴짜가족,1~10권,켄지 하마오카,일상/개그,23
그녀가 너무 귀여워서 뺏을 수 없어,1~8권,미상,로맨스/로판,25
가짜 커플,1~11권,미상,로맨스/로판,25
바로크,1~6권,미상,로맨스/로판,25
첫사랑에 키스,1~2권,미상,로맨스/로판,25
네 곁에서 청춘중,1~8권,미상,로맨스/로판,25
웃는 카노코씨,1~3권,미상,로맨스/로판,25
친애하는 A양을 위한 미스터리,1~3권,미상,로맨스/로판,25
도시전설,1~9권,미상,로맨스/로판,25
밤비노,1~15권,미상,로맨스/로판,25
플랫,1~8권,미상,로맨스/로판,25
스트롭에지,1~10권,사키사카 이오,로맨스/로판,25
고교데뷔,1~15권,미상,로맨스/로판,25
나와 너 둘이 무지개가 되다,1~5권,미상,로맨스/로판,25
"사랑하고, 사랑받고, 차고, 차이고",1~12권,이오 사키사카,로맨스/로판,25
사랑하는 고슴도치,1~5권,미상,로맨스/로판,25
용이 피우는 꽃,1~7권,미상,로맨스/로판,25
학원 앨리스,1~31권,미상,로맨스/로판,25
최애가 우리집에 왔다!,1~7권,미상,로맨스/로판,25
너는 펫 ♡,1~14권,야요이 오가와,로맨스/로판,25
너는 펫 ♥ 완전판,1~9권,미상,로맨스/로판,25
마스카라 블루스,보유,이오 사키사카,로맨스/로판,25
미약카페,1~7권,미상,로맨스/로판,25
푸드 코디네이터 마녀의 레시피,1~5권,미상,로맨스/로판,25
씽크어택,1~3권,미상,로맨스/로판,25
로도스도전기,1~3권,미상,로맨스/로판,25
샹파뉴,1~2권,미상,로맨스/로판,25
꿀벌의 키스,1~2권,미상,로맨스/로판,25
거짓말풀이 수사학,1~10권,미상,로맨스/로판,25
소말리와 숲의 신,1~6권,미상,로맨스/로판,25
지젤 알랭,1~5권,미상,로맨스/로판,25
마도정병의 슬레이브,1~15권,미상,로맨스/로판,25
세스타스,1~15권,미상,로맨스/로판,25
한낮의 유성,1~12권,미상,로맨스/로판,25
한낮의 유성 외전,보유,미상,로맨스/로판,25
수상한 스캔들,1~5권,미상,로맨스/로판,25
꿈꾸는 고도,보유,미상,로맨스/로판,25
브래드 할리의 마차,보유,미상,로맨스/로판,25
아침이 또 오니까,보유,미상,로맨스/로판,25
학원 베이비시터즈,1~24권,미상,로맨스/로판,25
오늘의 키라군,1~9권,미상,로맨스/로판,25
P와 여고생,1~16권,마키 미요시,로맨스/로판,25
사랑한다고 말해도 좋아,1~5권,미상,로맨스/로판,25
클로스로드,1~10권,미상,로맨스/로판,25
papa told me,1~24권,미상,로맨스/로판,25
둘째 공주님 이야기,보유,미상,로맨스/로판,25
Loveletter from…,보유,미상,로맨스/로판,25
그녀는 거짓말을 너무 사랑해,1~22권,오가사와라 아키,로맨스/로판,25
절대 평화 대작전,1~4권,미상,로맨스/로판,25
부탁해요 마스터,1~3권,미상,로맨스/로판,25
에도로 가자!,1~6권,미상,로맨스/로판,25
시집가긴 다 틀렸어!,1~5권,후지와라 키요,로맨스/로판,25
인형궁정악단,1~5권,미상,로맨스/로판,25
첫사랑 X 어게인,1~7권,미상,로맨스/로판,25
초콜릿 뱀파이어,1~4권,미상,로맨스/로판,25
컴온 어 마이하우스!,1~6권,미상,로맨스/로판,25
블루,1~8권,카네시로 무네유키/노무라 유스케,드라마/스포츠/SF,25
가극 나라의 앨리스,1~3권,미상,로맨스/로판,25
그래도 네가,1~3권,미상,로맨스/로판,25
스트레인지 드래곤,1~3권,미상,로맨스/로판,25
빠져드는 한숨에 달콤한 키스,1~5권,미상,로맨스/로판,25
메종일각,1~15권,타카하시 루미코,로맨스/로판,25
달빛천사,1~7권,미상,로맨스/로판,25
천사 1/2 방정식,1~11권,미상,로맨스/로판,25
우리는 공부를 못해,1~21권,미상,로맨스/로판,25
해피 아이스크림,1~3권,미상,로맨스/로판,25
흑백작은 별을 사랑한다,1~12권,미상,로맨스/로판,25
새키레이,1~19권,미상,로맨스/로판,25
리젤로테와 마녀의 숲,1~4권,미상,로맨스/로판,25
크랙 하운드,보유,미상,로맨스/로판,25
마치과 의사 하나,보유,미상,로맨스/로판,25
무적 특수교,1~2권,미상,로맨스/로판,25
그 남자의 취향,1~3권,미상,로맨스/로판,25
전부 잊었다,1~2권,미상,로맨스/로판,25
바실리스크,1~5권,미상,로맨스/로판,25
먹고 자는 두 사람 함께 사는 두 사람,1~5권,미상,로맨스/로판,25
먹고 자는 두 사람 함께 사는 두 사람 속편,1~2권,미상,로맨스/로판,25
엔도 타츠야 단편집,보유,미상,로맨스/로판,25
밤비의 편지,보유,미상,로맨스/로판,25
혼,보유,휴우가 나츠,일반도서/소설,25
역전 허니,보유,미상,로맨스/로판,25
라이프 다이렉터,보유,미상,로맨스/로판,25
프리 X 프리,1~2권,미상,로맨스/로판,25
나 어릴 적에,보유,미상,로맨스/로판,25
워닝,보유,미상,로맨스/로판,25
사랑하는 금붕어,보유,미상,로맨스/로판,25
공주님 식 사족 계혹,보유,미상,로맨스/로판,25
차장 하나부사씨,보유,미야코 리츠,로맨스/로판,25
악마와 러브송,1~13권,미상,로맨스/로판,26
꽃과 악마,1~10권,미상,로맨스/로판,26
핑크빛 천국!,1~11권,미상,로맨스/로판,26
잠자는 공주,1~3권,미상,로맨스/로판,26
하트나라의 앨리스,1~6권,호시노 소우메이,로맨스/로판,26
하늘색 해안,1~6권,미상,로맨스/로판,26
빨강 머리 백설공주,1~25권,아키즈키 소라타,로맨스/로판,26
내 여친은 최고입니다!,1~6권,미상,로맨스/로판,26
치하야 양은 그대로가 좋아,1~4권,미상,로맨스/로판,26
화문소녀,1~2권,미상,로맨스/로판,26
불가사의한 마리아군,1~2권,미상,로맨스/로판,26
공주님의 조건,1~8권,미상,로맨스/로판,26
오늘은 회사 쉬겠습니다.,1~13권,후지무라 마리,로맨스/로판,26
생활의 샘,보유,미상,로맨스/로판,26
오타쿠의 따님,1~11권,미상,로맨스/로판,26
황제의 보물,1~7권,미상,로맨스/로판,26
우울한 아침,1~8권,미상,로맨스/로판,26
평범한 코이코 짱,1~14권,미상,로맨스/로판,26
오빠 친구,1~10권,미상,로맨스/로판,26
너와나17,보유,미상,로맨스/로판,26
코스프레 형사,1~6권,미상,로맨스/로판,26
나츠메 우인장,1~32권,미도리카와 유키,로맨스/로판,26
현미 선생의 도시락,1~10권,미상,로맨스/로판,26
소울이터 낫!,1~5권,오쿠보 아츠시,액션/모험,26
연애지상주의,1~8권,미상,로맨스/로판,26
순수시대,1~2권,미상,로맨스/로판,26
신의 아이,1~8권,미상,로맨스/로판,26
붉은 양의 각인,1~2권,미상,로맨스/로판,26
잊혀진 줄리엣,보유,미상,로맨스/로판,26
소년이 부화하는 소리,보유,미상,로맨스/로판,26
카프카,보유,미상,로맨스/로판,26
IS 아이에스,1~17권,미상,로맨스/로판,26
그래서 나는 안티팬과 결혼했다,1~4권,미상,로맨스/로판,26
스위트 걸,1~3권,미상,로맨스/로판,26
학교 호텔,1~2권,미상,로맨스/로판,26
히구마,1~3권,미상,로맨스/로판,26
바보 사랑 이야기,1~5권,미상,로맨스/로판,26
록킨 헤븐,1~8권,미상,로맨스/로판,26
장국의 알타이르,1~12권,미상,로맨스/로판,26
사랑한다고 말해,1~16권,미상,로맨스/로판,26
우리 포치가 말하길,1~8권,미상,로맨스/로판,26
크롬 리에커,1~4권,미상,로맨스/로판,26
백금신사 클럽,1~3권,미상,로맨스/로판,26
연공,1~10권,미상,로맨스/로판,26
파르페틱,1~22권,미상,로맨스/로판,26
블랙아웃,1~4권,미상,로맨스/로판,26
뇌쇄 ROCK 소년,1~2권,미상,로맨스/로판,26
갇힌 네르갈,1~7권,미상,로맨스/로판,26
라즈 머리디언,1~6권,미상,로맨스/로판,26
러브 몬스터,1~12권,우라사와 나오키,스릴러/추리/호러,26
손끝에서 로맨스,1~9권,미상,로맨스/로판,26
내게로 와,1~2권,미상,로맨스/로판,26
시작의 상자,보유,미상,로맨스/로판,26
키스 허그,1~3권,미상,로맨스/로판,26
팔견전,1~13권,미상,로맨스/로판,26
남학교,1~8권,미상,로맨스/로판,26
M구역의 주민,1~4권,미상,로맨스/로판,26
라이프 쏘 해피,1~3권,미상,로맨스/로판,26
매리지 퍼플,1~6권,미상,로맨스/로판,26
우리들의 비밀 사정,1~6권,미상,로맨스/로판,26
메르헨 프린스,1~4권,미상,로맨스/로판,26
물방울 허니 보이,1~10권,미상,로맨스/로판,26
지옥소녀,1~9권,미상,로맨스/로판,26
주문 배달의 왕자님,1~7권,미상,로맨스/로판,26
우리 시작은 결혼?!,1~5권,미상,로맨스/로판,26
피스,1~10권,아시하라 히나코,로맨스/로판,26
프리징,1~14권,미상,로맨스/로판,26
월광천녀,1~27권,미상,로맨스/로판,26
호랑이와 늑대,1~6권,미상,로맨스/로판,26
은빛 숟가락,1~17권,미상,로맨스/로판,26
백설공주와 일곱명의 아이들,1~2권,미상,로맨스/로판,26
메이드 인 허니,1~6권,미상,로맨스/로판,26
풀솜나물,1~8권,미상,로맨스/로판,26
별은 노래한다,1~11권,미상,로맨스/로판,26
본좌 티처,1~29권,미상,로맨스/로판,27
사립 마녀 고등학교,1~3권,미상,로맨스/로판,27
우국의 모리아티,1~19권,미상,로맨스/로판,27
코미 양은 커뮤증입니다,1~29권,미상,로맨스/로판,27
회장님은 메이드 사마!,1~18권,후지와라 히로,로맨스/로판,27
소년소녀 로맨스,1~3권,미상,로맨스/로판,27
맨발로 장미를 밟아라,1~9권,미상,로맨스/로판,27
러브 팬텀,1~12권,미상,로맨스/로판,27
매일 나비11,보유,미상,로맨스/로판,27
러브 더비,1~5권,미상,로맨스/로판,27
나의 짐승남,1~9권,차경희,로맨스/로판,27
어떤 허언 나의 비밀,1~3권,미상,로맨스/로판,27
옆자리 괴물군,1~13권,로비코,로맨스/로판,27
키라라의 별,1~13권,미상,로맨스/로판,27
"오늘, 사랑을 시작합니다",1~15권,미나미 카난,로맨스/로판,27
건방진 그녀석,1~23권,미츠바치 미유키,로맨스/로판,27
"뜬금없지만, 내일 결혼합니다",1~9권,미상,로맨스/로판,27
어릴 때부터 좋아했는데,1~11권,미상,로맨스/로판,27
순애 특공대장 리얼,1~4권,미상,로맨스/로판,27
순애 특공대장!,1~13권,미상,로맨스/로판,27
"꿈의 물방울, 황금의 새장",1~18권,미상,로맨스/로판,27
아무도 모르는,1~3권,미상,로맨스/로판,27
역전검사,1~4권,미상,로맨스/로판,27
왕자에게는 독이 있다,1~10권,미상,로맨스/로판,27
회장의 비밀,1~2권,미상,로맨스/로판,27
꽃에 폭풍,1~2권,미상,로맨스/로판,27
캐러멜 보이,1~3권,미상,로맨스/로판,27
우이러브,1~11권,미상,로맨스/로판,27
나의 늑대군,1~4권,미상,로맨스/로판,27
순진무 구 그녀,1~5권,미상,로맨스/로판,27
삐약삐약,1~5권,미상,로맨스/로판,27
그건 아냐 달링,1~3권,미상,로맨스/로판,27
너 같은 건 절대로,1~4권,미상,로맨스/로판,27
Dangerous share,1~2권,미상,로맨스/로판,27
호우오 학교 미소년반,1~4권,미상,로맨스/로판,27
"이봐 선생님, 그거 모르지",1~3권,미상,로맨스/로판,27
사립! 미녀 고등학교,1~3권,미상,로맨스/로판,27
사립! 미녀 고등학교 리턴즈,1~2권,미상,로맨스/로판,27
남자 고교생의 일상,1~7권,미상,로맨스/로판,27
트윈 롤,1~2권,미상,로맨스/로판,27
슈가 패밀리,1~6권,미상,로맨스/로판,27
내게 빠져봐,1~5권,미상,로맨스/로판,27
오이란 걸,1~5권,미상,로맨스/로판,27
어른의 시간,1~7권,미상,로맨스/로판,27
이건 사랑이 아니니까 잘 부탁해,1~5권,미상,로맨스/로판,27
꽃보다 맑음,1~15권,미상,로맨스/로판,27
무지와라 군은 대체로 옳다,1~6권,미상,로맨스/로판,27
하루 X 키요,1~6권,미상,로맨스/로판,27
허니 헌트,1~6권,미상,로맨스/로판,27
이상한 나라의 아리스가와,1~7권,미상,로맨스/로판,27
요괴얀화담,1~12권,미상,로맨스/로판,27
봄을 기다리는 우리들,1~14권,미상,로맨스/로판,27
나에게 꽃의 멜랑콜리,1~13권,미상,로맨스/로판,27
줄무늬 고양이 코우메,1~24권,미상,로맨스/로판,27
상사병에 걸린 엘러,1~8권,미상,로맨스/로판,27
꽃에게 짐승,1~10권,스기야마 미와코,로맨스/로판,27
내 마음속에서 네가 지워지지 않아,1~4권,미상,로맨스/로판,27
여왕의 꽃,1~15권,미상,로맨스/로판,27
"사랑, 하늘하늘",1~2권,미상,로맨스/로판,27
베이비 키스를 주세요,1~3권,미상,로맨스/로판,27
다녀왔어 노래,1~7권,미상,로맨스/로판,27
비밀의 아이,1~15권,미상,로맨스/로판,27
"인사하고, 키스",1~7권,미상,로맨스/로판,27
정상!,1~2권,미상,로맨스/로판,27
해파리 공주,1~17권,미상,로맨스/로판,27
아오하라이드,1~13권,사키사카 이오,로맨스/로판,27
붉은 달,1~14권,미상,로맨스/로판,27
밀월,보유,미상,로맨스/로판,27
묘한 고양이 쿠로,1~9권,미상,로맨스/로판,27
도쿄 앨리스,1~15권,미상,로맨스/로판,28
남학교의 미도리 양!!,1~10권,미상,로맨스/로판,28
all you real is kill,1~2권,미상,로맨스/로판,28
내 첫사랑을 너에게 바친다,1~12권,미상,로맨스/로판,28
모래시계,1~10권,미상,로맨스/로판,28
어덜트 핑크,1~2권,미상,로맨스/로판,28
경국지색5,보유,미상,로맨스/로판,28
템페스트,1~9권,미상,로맨스/로판,28
내일의 3600초,1~4권,미상,로맨스/로판,28
가슴이 떨리는 건 너 때문,1~5권,미상,로맨스/로판,28
초립! 모모노키 고교,1~3권,미상,로맨스/로판,28
무지개 빛 데이즈,1~16권,미상,로맨스/로판,28
페이트 스테이 나이트,1~20권,미상,로맨스/로판,28
너 아니면 안돼,1~9권,미상,로맨스/로판,28
병아리 사랑,1~14권,유키마루 모에,로맨스/로판,28
좋아한다고 말하게 하는 법,1~9권,미상,로맨스/로판,28
우리에게는 벽이 있다,1~7권,미상,로맨스/로판,28
보이즈걸,1~3권,미상,로맨스/로판,28
리얼 어카운트,1~24권,시즈무 와타나베,판타지/무협,28
뚱쌤,1~9권,미상,로맨스/로판,28
열대 데라시네 보석점,1~4권,미상,로맨스/로판,28
유녀전기,1~7권,미상,로맨스/로판,28
망량의 상자,1~5권,미상,로맨스/로판,28
라스트 게임,1~11권,미상,로맨스/로판,28
그럼에도 세상은 아름답다,1~25권,미상,로맨스/로판,28
허니와 클로버,1~10권,우미노 치카,로맨스/로판,28
클로버 트레블,1~10권,미상,로맨스/로판,28
건게일 온라인,1~3권,미상,로맨스/로판,28
희미하게 보이는 소년,1~4권,미상,로맨스/로판,28
듀라라라!!,1~4권,미상,로맨스/로판,28
듀라라라!! 외전,1~3권,미상,로맨스/로판,28
파스텔,1~44권,미상,로맨스/로판,28
That’s life,1~4권,미상,로맨스/로판,28
별가루 드롭,1~4권,미상,로맨스/로판,28
우는 얼굴에 키스,1~9권,미상,로맨스/로판,28
너에게 친구가 생길 때까지,1~5권,미상,로맨스/로판,28
트리플 키스,1~2권,미상,로맨스/로판,28
사쿠라바는 멈추지 않아!,1~4권,미상,로맨스/로판,28
비밀의 공주 소문의 왕자,1~2권,미상,로맨스/로판,28
바디 & 소울,1~2권,미상,로맨스/로판,28
봇케님,1~2권,미상,로맨스/로판,28
네버 크라이,1~13권,미상,로맨스/로판,28
식신남,1~3권,미상,로맨스/로판,28
실러캔스,1~2권,미상,로맨스/로판,28
이국미로의 크로와제,1~2권,미상,로맨스/로판,28
천생연분,1~17권,미상,로맨스/로판,28
고토부키 미녀 저택,1~4권,미상,로맨스/로판,28
이런 내가 귀엽다니,1~3권,미상,로맨스/로판,28
코마츠바라가 연인이 되고 싶은 듯 이쪽을 보고 있어!,1~3권,미상,로맨스/로판,28
그래스 호퍼,1~3권,미상,로맨스/로판,28
사신 공주의 재혼,1~3권,미상,로맨스/로판,28
아시타 도둑,1~4권,미상,로맨스/로판,28
모형 정원의 엔젤,1~4권,미상,로맨스/로판,28
203호실의 진코씨,1~3권,미상,로맨스/로판,28
그 남자! 그 여자!,1~21권,츠다 마사미,로맨스/로판,28
내일 비밀스런 키스를 하자,1~3권,미상,로맨스/로판,28
왕궁의 트리니티,1~6권,미상,로맨스/로판,28
모형정원의 솔레이유,1~4권,미상,로맨스/로판,28
바이바이 리버티,1~4권,미상,로맨스/로판,28
블랙버드,1~18권,미상,로맨스/로판,28
새벽의 연화,1~47권,쿠사나기 미즈호,로맨스/로판,28
코우다이 가 사람들,1~6권,미상,로맨스/로판,28
러브몽키!,1~8권,미상,로맨스/로판,28
칸나와 견습생,1~7권,미상,로맨스/로판,28
뇌쇄미인,1~16권,미상,로맨스/로판,28
사랑하고 싶은 블루,1~6권,미상,로맨스/로판,28
키스&네버크라이,1~10권,미상,로맨스/로판,28
모자가게 일립스,1~3권,미상,로맨스/로판,28
금색의 코르다,1~17권,미상,로맨스/로판,28
SA,1~17권,미상,로맨스/로판,28
태양의 집,1~13권,미상,일상/개그,29
급구 촌장님,1~5권,미상,일상/개그,29
마음 단추,1~12권,미상,일상/개그,29
해피래리,1~10권,미상,일상/개그,29
엽기 걸 스타코,1~36권,미상,일상/개그,29
여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다…,1~3권,미상,일상/개그,29
초인 X,1~14권,미상,일상/개그,29
홍색의 히어로,1~20권,미상,일상/개그,29
사신의 발라드,1~3권,미상,일상/개그,29
너는 비탈길 중간에,1~3권,미상,일상/개그,29
웰컴투 화원장,1~3권,미상,일상/개그,29
백귀야경,1~2권,미상,일상/개그,29
요괴 전문 의사선생님,1~15권,미상,일상/개그,29
욕마오가 사랑의 굴레,1~5권,미상,일상/개그,29
안개숲 호텔,1~2권,미상,일상/개그,29
뱀과 마리아와 달님,1~3권,미상,일상/개그,29
바보와 시험과 소환수,1~15권,미상,일상/개그,29
괭이 밥과 황금,1~6권,미상,일상/개그,29
우리들이 있었다,1~16권,미상,일상/개그,29
요츠바랑!,1~15권,아즈마 키요히코,일상/개그,29
고식,1~8권,미상,일상/개그,29
에노시마 와이키키 식당,1~11권,미상,일상/개그,29
군청학사,1~4권,미상,일상/개그,29
소라닌,1~2권,미상,일상/개그,29
부르잖아요 아자젤씨,1~16권,미상,일상/개그,29
라디에이션 하우스,1~15권,미상,일상/개그,29
노다메 칸타빌레,1~25권,미상,일상/개그,29
"새, 이소지 씨",1~4권,미상,일상/개그,29
불멸의 그대에게,1~24권,오이마 요시토키,판타지/무협,29
루돌프 터키,1~7권,미상,일상/개그,29
/ 칠흑의 꽃,1~2권,미상,일상/개그,29
미녀는 괴로워,1~5권,미상,일상/개그,29
키스,1~4권,미상,일상/개그,29
우리 아기는 외계인,1~9권,미상,일상/개그,29
후회없이 사랑해,1~7권,미상,일상/개그,29
히카리 맨,1~8권,미상,일상/개그,29
다다다,1~9권,미상,일상/개그,29
어떤 과학의 초전자포,1~18권,미상,일상/개그,29
어떤 마술의 금서목록,1~29권,미상,일상/개그,29
소울이터,1~25권,오쿠보 아츠시,액션/모험,29
혈계전선,1~10권,미상,일상/개그,29
서뱀프,1~16권,타나카 스트라이크,로맨스/로판,29
드래곤 아이,1~9권,미상,일상/개그,29
이누야시키,1~10권,오쿠 히로야,판타지/무협,29
신만이 아는 세계,1~26권,미상,일상/개그,29
사라진 첫사랑,1~9권,미상,일상/개그,29
From five to nine,1~15권,미상,일상/개그,29
붉은 실,1~9권,미상,일상/개그,29
통통 마니아,1~8권,미상,일상/개그,29
걷고 있어,1~11권,미상,일상/개그,29
스파이스와 커스터드,1~10권,미상,일상/개그,29
장미와 늑대,1~3권,미상,일상/개그,29
마담 프티,1~11권,미상,일상/개그,29
블리치,1~74권,쿠보 타이토,액션/모험,30
블리치 사신대행 편,1~1권,쿠보 타이토,액션/모험,30
베리타스,1~10권,미상,액션/모험,30
가정교사 히트맨 리본,1~34권,미상,액션/모험,30
일곱개의 대죄,1~41권,스즈키 나카바,판타지/무협,30
벚꽃사중주,1~31권,미상,액션/모험,30
나루토,1~72권,키시모토 마사시,액션/모험,30
나루토 7대 호카게의 진홍빛 3월,보유,키시모토 마사시,액션/모험,30
나루토 캐릭터 공식 데이터 북,보유,키시모토 마사시,액션/모험,30
보루토,1~20권,코타치 우코,액션/모험,30
코드기어스 반공의 스자쿠,1~2권,마지코,드라마/스포츠/SF,30
코드기어스 반역의 를르슈,보유,마지코,드라마/스포츠/SF,30
코드기어스 나이트메어 오브 나나리,1~5권,마지코,드라마/스포츠/SF,30
드래곤 집을 사다,1~10권,미상,액션/모험,30
균과 철,1~4권,미상,액션/모험,30
좀비론,1~13권,미상,액션/모험,30
루트 뱀파이어,1~3권,미상,액션/모험,30
재봉사의 공방,1~13권,미상,액션/모험,30
모노노케 고서점 괴기담,1~3권,미상,액션/모험,30
한 때는 신이었던 짐승들에게,1~14권,미상,액션/모험,30
원피스 학원,1~6권,오다 에이치로,액션/모험,31
원피스 파티,1~7권,오다 에이치로,액션/모험,31
원피스,1~114권,오다 에이치로,액션/모험,31
원피스 그린,보유,오다 에이치로,액션/모험,31
